Plot summary generated from raw evaluation results. Energy values represent modeled estimates.

trust: Trust Variance - Trust-Aware FedGreenSub: mean=0.000868056, stddev=0, difference_vs_baseline=n/a
trust: Trusted Peer Ratio - Standard GossipSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Trusted Peer Ratio - FedGreenSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Trusted Peer Ratio - Trust-Aware FedGreenSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Trust Update Time (us) - Standard GossipSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Trust Update Time (us) - FedGreenSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Trust Update Time (us) - Trust-Aware FedGreenSub: mean=12, stddev=0, difference_vs_baseline=n/a
trust: Peer Ranking Time (us) - Standard GossipSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Peer Ranking Time (us) - FedGreenSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Peer Ranking Time (us) - Trust-Aware FedGreenSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Trust Aggregation Time (us) - Standard GossipSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Trust Aggregation Time (us) - FedGreenSub: mean=0, stddev=0, difference_vs_baseline=n/a
trust: Trust Aggregation Time (us) - Trust-Aware FedGreenSub: mean=0, stddev=0, difference_vs_baseline=n/a
