scenario,implementation,peer_count,repetition,seed,modeled_resource_cost_total,modeled_resource_cost_per_delivered_message,delivered,duplicates,duplicate_ratio,delivery_ratio,bytes_sent,bytes_received,cpu,memory_mb
energy-scaling,trustaware,200,2,4243,67.5960695199,0.367369943043,184,12,0.0632549259432,0.924004997869,217754,201205,57.6087460254,2.84337615967
energy-scaling,gossipsub,200,3,4244,68.964881301,0.374809137506,184,12,0.0649080898684,0.924089977006,218093,201537,57.640998064,3.89973449707
energy-scaling,heuristic,200,3,4244,68.964881301,0.374809137506,184,12,0.0649080898684,0.924089977006,218093,201537,57.640998064,2.00785827637
energy-scaling,fl,200,3,4244,67.6613097986,0.367724509775,184,12,0.0632975704538,0.924089977006,217763,201232,57.640998064,2.87898254395
energy-scaling,fedgreen,200,3,4244,67.6610580778,0.367723141727,184,12,0.0632972577611,0.924089977006,217763,201232,57.640998064,2.44965362549
energy-scaling,trustaware,200,3,4244,67.6613096129,0.367724508766,184,12,0.063297570263,0.924089977006,217763,201232,57.640998064,2.58346557617
energy-scaling,gossipsub,200,4,4245,68.6406687562,0.373047112805,184,12,0.0648556538853,0.924111437188,218082,201532,57.2261171512,3.63982391357
energy-scaling,heuristic,200,4,4245,68.6406687562,0.373047112805,184,12,0.0648556538853,0.924111437188,218082,201532,57.2261171512,1.93148040771
energy-scaling,fl,200,4,4245,67.3370922562,0.365962457914,184,12,0.0632451278866,0.924111437188,217752,201227,57.2261171512,2.9984664917
energy-scaling,fedgreen,200,4,4245,67.3368415875,0.365961095584,184,12,0.063244816928,0.924111437188,217752,201227,57.2261171512,3.90766906738
energy-scaling,trustaware,200,4,4245,67.3370918002,0.365962455436,184,12,0.0632451273529,0.924111437188,217752,201227,57.2261171512,4.50663757324
energy-scaling,gossipsub,200,5,4246,68.9556148905,0.374758776579,184,13,0.0650722754426,0.924176057335,218126,201586,57.6463282736,3.27680206299
energy-scaling,heuristic,200,5,4246,68.9556148905,0.374758776579,184,13,0.0650722754426,0.924176057335,218126,201586,57.6463282736,1.9259185791
energy-scaling,fl,200,5,4246,67.6520433883,0.36767414885,184,12,0.0634617560367,0.924176057335,217796,201281,57.6463282736,3.35401916504
energy-scaling,fedgreen,200,5,4246,67.6517925225,0.367672785448,184,12,0.0634614445087,0.924176057335,217796,201281,57.6463282736,3.55930328369
energy-scaling,trustaware,200,5,4246,67.652042953,0.367674146484,184,12,0.0634617555244,0.924176057335,217796,201281,57.6463282736,3.65112304688
